ï»¿imdbID,Title,Year,Genre,Director,Actors,Plot,imdbRating,imdbVotes,Poster,Rated,Released,Runtime,Writer,Language,Country,Awards,Ratings,Metascore,Type,Cluster
tt0111301,Street Fighter,1994,"Action, Adventure, Comedy",Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen","Col. William Guile leads an army of soldiers into the country of Shadaloo to find traces to lead him to General M. Bison, who has captured many people including three missing soldiers. Among them is Carlos ""Charlie"" Blanka, in which Bison decides to turn into a hideous mutant. On the other hand, Chun Li is a reporter who seeks revenge against Bison for the death of her father years ago. Then two small time hustlers Ryu and Ken, are arrested along with Sagat, a powerful arms dealer and Vega for dealing of illegal weapons. Guile recruits them in order to find Bison's base. Now Guile, T. Hawk, Cammy, Ryu, Ken, Chun Li, Balrog and E. Honda have three days before Bison murders the hostages and takes over the world.",4.1,"77,991",https://m.media-amazon.com/images/M/MV5BMTliMDFmNDQtZjRlYS00MDE3LWJmOTktNjA0ZDUwZjcyNTdiXkEyXkFqcGc@._V1_SX300.jpg,PG-13,23 Dec 1994,102 min,Steven E. de Souza,"English, Japanese, Esperanto","Japan, United States, Australia, Hong Kong",4 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,movie,1
tt1855236,Just Like a Woman,2012,Drama,Rachid Bouchareb,"Sienna Miller, Golshifteh Farahani, Bahar Soomekh","Mona (Golshifteh Farahani), 26, an immigrant from North Africa, runs her in-laws' mini market in Chicago. She's married to Mourad, a man who can't stand up to his authoritarian mother. Mona is harassed by her mother-in-law because after five years of marriage, she hasn't been able to get pregnant, something that's considered a shame and a taboo in her culture. Marilyn (Sienna Miller), 29, is a receptionist at a computer repair company. Her marriage with Harvey is on the ropes. The only thing in her life that makes her happy is her belly dance class, a passion shared by Mona. Dancing at family gatherings lifts her spirits up and makes her forget the misery of her daily life. Marilyn shops at Mona's mini-market. They've become friends. One morning, Mona's mother-in-law is found dead in her bed. Mona realizes that she mixed the wrong dose while preparing her medicine. Realizing that she might be accused of murder, Mona runs away and flees Chicago by bus. Marilyn loses her job because of the recession. When she gets home, she finds out that her husband is cheating on her. With nothing left to lose, Mona decides to go to Santa Fe to enter a contest hoping to join a famous belly dance company. Mona and Marilyn run into each other on a rest area on the side of a highway. They decide to continue the trip together. They cross the USA, pitching their tent in trailer parks and in the middle of the desert. They earn some cash belly-dancing together in restaurants and bars. Back in Chicago, Mona is considered a fugitive; she's wanted for the murder of her mother-in-law. Harvey asks the police to look for Marilyn who disappeared without leaving a trace. Will Marilyn succeed in joining the belly dance company? How long will Mona be able to keep her secret from Marilyn? And how long will she be able to escape the law?",5.5,"2,979",https://m.media-amazon.com/images/M/MV5BMTU0OTQ5NDg5N15BMl5BanBnXkFtZTcwMTc0NTg1OQ@@._V1_SX300.jpg,R,05 Jul 2013,87 min,"Joelle Touma, Marion Doussot",English,"United Kingdom, United States, France",2 nominations,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,movie,1
tt0111280,Star Trek: Generations,1994,"Action, Adventure, Mystery",David Carson,"Patrick Stewart, Jonathan Frakes, Brent Spiner","In the late twenty-third century, the gala maiden voyage of the newly-christened U.S.S. Enterprise NCC-1701-B boasts such luminaries as Pavel Chekov, Montgomery Scott, and the legendary Captain James T. Kirk as guests. But her maiden voyage turns into a disaster as the unprepared starship is forced to rescue two transport ships from a mysterious energy ribbon. The Enterprise manages to save a handful of the ships' passengers and barely succeeds out intact, but at the cost of Captain Kirk's life. Seventy-eight years later, Captain Jean-Luc Picard and the U.S.S. Enterprise NCC-1701-D crew find themselves at odds with renegade scientist Dr. Tolian Soran, who is destroying entire star systems. Only one man can help Picard stop Soran's scheme, and he has been dead for seventy-eight years.",6.6,"90,266",https://m.media-amazon.com/images/M/MV5BNDFjYmFmNmItODM5Ny00YzhlLWEzNjEtNTBlNjRiN2RlYTRhXkEyXkFqcGc@._V1_SX300.jpg,PG,18 Nov 1994,118 min,"Gene Roddenberry, Rick Berman, Ronald D. Moore","English, Klingon",United States,2 wins & 4 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,movie,2
tt0111282,Stargate,1994,"Action, Adventure, Sci-Fi",Roland Emmerich,"Kurt Russell, James Spader, Jaye Davidson","In 1928, in Egypt, a strange device is found by an expedition. In the present days, the outcast linguist Dr. Daniel Jackson is invited by a mysterious woman to decipher an ancient hieroglyph in a military facility. Soon he finds that the device was developed by an advanced civilization and opens a portal to teletransport to another planet. Dr. Jackson is invited to join a military team under the command of Colonel Jonathan 'Jack' O'Neil that will explore the new world. They find a land that recalls Egypt and humans in a primitive culture that worship and are slaves to Ra, the God of the Sun. But soon they discover the secret of the mysterious ""stargate"".",7.0,"214,941",https://m.media-amazon.com/images/M/MV5BNGRmZmNhMTctZTBiMy00ZmJhLWE3MmMtMDNmZWRkZjczMGVkXkEyXkFqcGc@._V1_SX300.jpg,PG-13,28 Oct 1994,121 min,"Dean Devlin, Roland Emmerich","English, Norwegian, Swedish, Egyptian (Ancient), Arabic","France, United States",6 wins & 6 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42.0,movie,0
tt1855199,End of Watch,2012,"Action, Crime, Drama",David Ayer,"Jake Gyllenhaal, Michael PeÃ±a, Anna Kendrick","In South Central Los Angeles, street cops Brian and Mike are partners - balls-out cowboys patrolling the streets as Latino gangs are in a power struggle with Blacks. Brian and Mike get lucky a couple of times, making big drug and human-trafficking busts, so a Mexican cartel orders their deaths. We meet Mike's pregnant wife (whom he married out of high school) and watch Brian's search for a soul mate. There are internal squabbles within the ranks of the LAPD and lots of squad-car conversation. Can the lads escape the cartel's murderous reach?",7.6,"283,662",https://m.media-amazon.com/images/M/MV5BMjMxNjU0ODU5Ml5BMl5BanBnXkFtZTcwNjI4MzAyOA@@._V1_SX300.jpg,R,21 Sep 2012,109 min,David Ayer,"English, Spanish","United States, United Kingdom",3 wins & 10 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,movie,3
tt0111252,Spanking the Monkey,1994,"Comedy, Drama",David O. Russell,"Jeremy Davies, Alberta Watson, Benjamin Hendrickson","About to stay a summer internship, promising young medical student at MIT, Raymond's mother, Susan, breaks her leg. Housebound and immobile, his father, Tom, makes Raymond stay home and take care of her. Susan's a troubled woman, and along with Raymond's own emotional strains, it leads them to intimate physical contact, which Raymond finds uneasy. He soon meets a high school girl, Toni, but his ability to handle starting a relationship with her is difficult, due to the emotionally troubling recent events in his life.",6.3,"6,824",https://m.media-amazon.com/images/M/MV5BZTFkZmE4ZmMtZWE4Ny00ZmY5LTg2M2ItNThjMjE2Njc1MzJhXkEyXkFqcGc@._V1_SX300.jpg,Unrated,15 Jul 1994,100 min,David O. Russell,English,United States,3 wins & 5 nominations,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,movie,4
tt8521718,The United States vs. Billie Holiday,2021,"Biography, Drama, Music",Lee Daniels,"Andra Day, Trevante Rhodes, Garrett Hedlund","Follows Holiday during her career as she is targeted by the Federal Department of Narcotics with an undercover sting operation led by black Federal Agent Jimmy Fletcher, with whom she has a tumultuous affair.",6.3,"15,573",https://m.media-amazon.com/images/M/MV5BMTk3NGZkZGEtNGMxMC00NDZiLTgzZDUtZTAzOTk4YTE1OTU5XkEyXkFqcGc@._V1_SX300.jpg,R,26 Feb 2021,126 min,"Suzan-Lori Parks, Johann Hari","English, Italian, German",United States,Nominated for 1 Oscar. 12 wins & 25 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,movie,4
tt0451279,Wonder Woman,2017,"Action, Adventure, Fantasy",Patty Jenkins,"Gal Gadot, Chris Pine, Robin Wright","Diana, princess of the Amazons, trained to be an unconquerable warrior. Raised on a sheltered island paradise, when a pilot crashes on their shores and tells of a massive conflict raging in the outside world, Diana leaves her home, convinced she can stop the threat. Fighting alongside man in a war to end all wars, Diana will discover her full powers and her true destiny.",7.3,"729,095",https://m.media-amazon.com/images/M/MV5BMjEzYmZkNjktODBmYi00NzNkLWIzMjItMjhkMWZiZTZlN2MwXkEyXkFqcGc@._V1_SX300.jpg,PG-13,02 Jun 2017,141 min,"Allan Heinberg, Zack Snyder, Jason Fuchs","English, German, Dutch, Flemish, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian","United States, China, Hong Kong",38 wins & 76 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,movie,1
tt0111257,Speed,1994,"Action, Adventure, Thriller",Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock","When a young Los Angeles police department, Special Weapons and Tactics (S.W.A.T.) officer called Jack Traven angers retired Atlanta police department bomb squad member Howard Payne, by foiling his attempt at taking hostages stuck in an elevator with a bomb, Payne in retaliation arms a bus with a bomb that will explode if it drops below 50 miles per hour. With the help of spunky passenger Annie, Jack and his partner Detective Harry Temple try to save the people on the bus before the bomb goes off, while also trying to figure out how Payne is monitoring them.",7.3,"417,886",https://m.media-amazon.com/images/M/MV5BMDc2ODI5YWQtMmM2ZS00MTdmLWEyNWEtNmRmOGE5NGZlYWMzXkEyXkFqcGc@._V1_SX300.jpg,R,10 Jun 1994,116 min,Graham Yost,English,United States,Won 2 Oscars. 20 wins & 21 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78.0,movie,1
tt8521736,Flora & Ulysses,2021,"Adventure, Comedy, Family",Lena Khan,"Matilda Lawler, Alyson Hannigan, Ben Schwartz","After rescuing a squirrel she names Ulysses, 10 year old Flora is amazed to discover he possesses unique superhero powers, which take them on an adventure of humorous complications that ultimately change Flora's life and her outlook forever.",6.2,"6,716",https://m.media-amazon.com/images/M/MV5BNjI0ZDg2NWQtMGY4YS00ZjgxLThlMjktNmVlYWQyZmRlMjBkXkEyXkFqcGc@._V1_SX300.jpg,PG,19 Feb 2021,95 min,"Brad Copeland, Kate DiCamillo",English,United States,2 nominations,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62.0,movie,4
tt0475937,The Abandoned,2006,"Horror, Mystery, Thriller",Nacho CerdÃ¡,"Anastasia Hille, Karel Roden, Valentin Goshev","In 1966, somewhere in Russia, a wounded woman drives a truck to an isolated farm with two babies. Forty years later, the film producer Marie Jones leaves her daughter in California and travels back to her home land in the wilderness of Russia. Marie is one of the children and had received a phone call from the notary public Andrei Misharin, who told her where the farm of her family is located. Marie arrives at the abandoned house and meets the stranger Nicolai, who tells her that he had also received a call from Misharin and he is her twin brother. Weird things happen in the house and Marie and Nicolai are haunted by zombie-like ghosts of themselves. Further, they find that they are trapped in the house and can not leave the place.",5.5,"13,600",https://m.media-amazon.com/images/M/MV5BMjZiNTBiNTYtMGE5Zi00MTU2LTk4NjUtMmFiOWQ3Zjc1YjYyXkEyXkFqcGc@._V1_SX300.jpg,R,23 Feb 2007,99 min,"Karim Hussain, Nacho CerdÃ¡, Richard Stanley","English, Russian","Spain, United Kingdom, Bulgaria",1 nomination total,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42.0,movie,4
tt0407887,The Departed,2006,"Crime, Drama, Thriller",Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson","In this crime-action tour de force, the South Boston state police force is waging war on Irish-American organized crime. Young undercover cop Billy Costigan is assigned to infiltrate the mob syndicate run by gangland chief Frank Costello. While Billy quickly gains Costello's confidence, Colin Sullivan, a hardened young criminal who has infiltrated the state police as an informer for the syndicate is rising to a position of power in the Special Investigation Unit. Each man becomes deeply consumed by their double lives, gathering information about the plans and counter-plans of the operations they have penetrated. But when it becomes clear to both the mob and the police that there is a mole in their midst, Billy and Colin are suddenly in danger of being caught and exposed to the enemy - and each must race to uncover the identity of the other man in time to save themselves. But is either willing to turn on their friends and comrades they've made during their long stints undercover?",8.5,"1,531,687",https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,R,06 Oct 2006,151 min,"William Monahan, Alan Mak, Felix Chong","English, Cantonese","United States, Hong Kong",Won 4 Oscars. 100 wins & 141 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85.0,movie,1
tt1854513,Blancanieves,2012,"Drama, Fantasy",Pablo Berger,"Maribel VerdÃº, Emilio Gavira, Daniel GimÃ©nez Cacho","A band of bullfighting dwarfs save the life of a young woman with amnesia. They end up taking her under their wing when they find out that she has seemingly natural skills as a bullfighter, upon which they can capitalize not only for their act but for her own personal gain. As she does not know her name or background, the dwarfs coin her Blancanieves, after the famed fairy tale. What they are all unaware of is that she is really Carmen, the daughter of the once great matador, Antonio Villalta. On the day Carmen was born, her father suffered a career ending accident, and her mother died in childbirth. Her father quickly remarried his nurse, the evil Encarna. Although raised by her grandmother during her early years, Carmen, following the death of her grandmother, went to live with Encarna while an adolescent, Encarna who treated her as a slave. Carmen eventually found her disabled father, who was hidden away and treated poorly by Encarna. In the meantime, Encarna was cavorting with the household chauffeur while living off her husband's riches. Antonio did pass along to Carmen the art of bullfighting. As Blancanieves teeters on the brink of fame as a matador, her life may be placed in jeopardy if Encarna learns who she is, as Encarna believed Carmen was dead since she was the one who ordered her murder at the hands of the chauffeur.",7.5,"11,796",https://m.media-amazon.com/images/M/MV5BYWJjM2UxMjYtODcwNC00N2MzLWE0MWQtMDY0Y2Y1ZDY4N2FmXkEyXkFqcGc@._V1_SX300.jpg,PG-13,28 Sep 2012,104 min,"Pablo Berger, Jacob Grimm, Wilhelm Grimm",Spanish,"Spain, Belgium, France, United States",49 wins & 55 nominations,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82.0,movie,1
tt0111201,Sirens,1994,"Comedy, Drama, Romance",John Duigan,"Hugh Grant, Tara Fitzgerald, Sam Neill","Anthony, a young reverend and his wife, Estella are on the way from England to Australia to minister to their flock. The bishop asks him to visit Norman, an eccentric artist prone to sexual depictions and requests that he voluntarily withdraw a controversial work call ""Crucified Venus"" from his show. The minister, who considers himself a progressive, is shocked at the amoral atmosphere surrounding the painter, his wife, and the three models living at his estate. The minister's wife is troubled also, and has to deal with latent sexual urges while trying to remain loyal to her husband.",5.9,"11,670",https://m.media-amazon.com/images/M/MV5BYmZmMDYyNjYtYzRhMi00MDc0LWE4NjctNDVkYzc4YTc3MDdlXkEyXkFqcGc@._V1_SX300.jpg,R,25 Mar 1994,98 min,John Duigan,English,"Australia, United Kingdom",1 win & 4 nominations,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64.0,movie,2
tt0052618,Ben-Hur,1959,"Adventure, Drama",William Wyler,"Charlton Heston, Jack Hawkins, Haya Harareet","Judah Ben-Hur lives as a rich Jewish prince and merchant in Jerusalem at the beginning of the 1st century. Together with the new governor his old friend Messala arrives as commanding officer of the Roman legions. At first they are happy to meet after a long time but their different politic views separate them. During the welcome parade a roof tile falls down from Judah's house and injures the governor. Although Messala knows they are not guilty, he sends Judah to the galleys and throws his mother and sister into prison. But Judah swears to come back and take revenge.",8.1,"267,688",https://m.media-amazon.com/images/M/MV5BNjg2M2E1YzYtOThmMC00NjAyLWI5MzgtMDEwOGFiODdlOGUzXkEyXkFqcGc@._V1_SX300.jpg,G,18 Nov 1959,212 min,"Lew Wallace, Karl Tunberg, Maxwell Anderson",English,United States,Won 11 Oscars. 29 wins & 13 nominations total,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90.0,movie,2
tt0475390,The Wedding Weekend,2006,"Comedy, Drama, Music",Bruce Leddy,"David Harbour, Reg Rogers, Alexander Chaplin",A group of guys who sang together in a college a cappella group reunite 15 years later to perform at a friend's wedding and discover how their lives have progressed -- and in some cases regressed -- since their college heyday.,5.7,704,https://m.media-amazon.com/images/M/MV5BMTgxNzg1NTUyMV5BMl5BanBnXkFtZTcwOTg5NzQ2Mg@@._V1_SX300.jpg,R,13 Nov 2009,96 min,Bruce Leddy,English,United States,5 wins,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,movie,2
