Title,Plot_clean,Genre_list
Teen Wolf: The Movie,terrifying evil emerged wolf howl werewolf like scott mccall gather new ally reunite trusted friend fight back could powerful deadliest enemy,"['Action', 'Comedy', 'Crime']"
Between Two Ferns: The Movie,zach galifianakis dreamed becoming star ferrell discovered public access tv show two fern uploaded funny die zach became viral laughing stock zach crew taking road trip complete series highprofile celebrity interview restore reputation directed scott aukerman two fern movie laughoutloud comedy give new insight curmudgeonly beloved outsider zach galifianakis created year,['Comedy']
A Cop Movie,director alonso ruizpalacios take u deep mexican police force story teresa montoya together known love patrol thoroughly original unpredictable documentary ruizpalacios play boundary nonfiction immerses audience human experience police work within dysfunctional system,"['Documentary', 'Action', 'Crime']"
Plankton: The Movie,karen computer decides take world plankton stop little help spongebob gal pal pearl sandy mr puff,"['Animation', 'Adventure', 'Comedy']"
Pokémon the Movie: The Power of Us,every year citizen fura city celebrate wind festival people live together wind long ago final day festival legendary pokemon lugia bestow blessing wind upon people film focus everyones story lisa high school girl starting pokemon trainer karachi guy cant stop lying torito researcher lack confidence hisui old lady hate touching pokemon rarugo mysterious young girl watch forest,"['Animation', 'Action', 'Adventure']"
Monster High: The Movie,follows half human half werewolf finally find place fit devious plan destroy monster high threatens reveal identity must learn embrace true monster heart save,"['Action', 'Adventure', 'Comedy']"
Impractical Jokers: The Movie,story humiliating high school mishap sends impractical joker road competing hiddencamera challenge chance turn back clock redeem three four joker,['Comedy']
"Miraculous: Ladybug & Cat Noir, the Movie",ordinary teenager marinettes life paris go superhuman becomes ladybug bestowed magical power creation ladybug must unite opposite cat noir save paris new villain unleashes chaos unto th,"['Animation', 'Action', 'Adventure']"
A Shaun the Sheep Movie: Farmageddon,something strange going peaceful town mossingham right fantastic rescue mission shaun sheep movie mischievous shaun order pizza woolly flock nose farmer bitzer everwatchful sheepdog mysterious fastmoving ufo enters earth atmosphere crashlands near verdant mossy bottom farm lula extraordinary friendly creature depth galaxy grave danger lightyears away home shaun rest lamb lend helping hand protect new extraterrestrial companion ministry alien detection unstoppable leader agent red,"['Animation', 'Adventure', 'Comedy']"
Saving Bikini Bottom: The Sandy Cheeks Movie,bikini bottom scooped ocean scientific squirrel sandy cheek pal spongebob squarepants saddle texas save town,"['Animation', 'Adventure', 'Comedy']"
Shatagni - The Movie,story film based real incident happening social medium recent time story revolves around victim gang morphs picture young girl social medium earns money,"['Action', 'Crime', 'Thriller']"
The SpongeBob Movie: Search for SquarePants,desperate big guy spongebob set prove bravery mr krabs following flying dutchman mysterious swashbuckling ghost pirate deepest depth deep sea,"['Animation', 'Adventure', 'Comedy']"
The Quintessential Quintuplets Movie,teenage tutor fuutaro uesugi finally choose nakano sister feeling school upcoming cultural festival event lead wedding one flashforward,"['Animation', 'Comedy']"
The Dunkirk Spirit: Behind the Making of the Movie,nominated eight academy award including best picture best director dunkirk christopher nolans sweeping emotional epic dunkirk open hundred thousand british allied troop surrounded enemy force trapped beach back sea home almost within sight face impossible situation enemy close story unfolds land sea air raf spitfire engage enemy sky channel trying protect defenseless troop meanwhile hundred small boat manned civilian military mount desperate rescue effort risking life race time save even fraction army men couldnt get home home came,"['Documentary', 'Short']"
PAW Patrol: The Mighty Movie,magical meteor fall adventure city give paw patrol superpower transforming mighty pup face powerful challenge humdinger team mad scientist steal power,"['Animation', 'Action', 'Adventure']"
Steven Universe: The Movie,two year passed since steven universe resolved ongoing conflict earth diamond brought peace galaxy seemingly allowing steven crystal gem live happily ever however stevens past come back haunt shape mysterious gem hellbent destroying everything hold dear including earth steven must face consequence pink diamond action save earth go path self discovery change truly earn happily ever,"['Animation', 'Action', 'Adventure']"
Ejen Ali: The Movie 2,secret agent life change selected pilot experimental suit enhanced artificial intelligence designed revolutionize covert operation,"['Animation', 'Action', 'Adventure']"
Doraemon the Movie: Nobita's Earth Symphony,doraemon friend go adventure meet new buddy connect people music save world crisis,"['Animation', 'Adventure', 'Comedy']"
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,corporate worker mikami stabbed random killer reborn alternate world reborn slime thrown new world name rimuru begin quest create world thats welcoming,"['Animation', 'Action', 'Adventure']"
Deathstroke: Knights & Dragons - The Movie,mercenary master assassin slade wilson lead two life one relentless killer known deathstroke dedicated family man world collide forced together vicious terror group known hive killer slade must fight save loved one well remains soul torn apart young son held captive deathstroke atone sin past fuel battle future,"['Animation', 'Action', 'Adventure']"
Threat Level Midnight: The Movie,secret agent michael scarn steve carell forced retirement death wife catherine zetascarn president united state america craig robinson request prevents goldenface john,"['Action', 'Comedy']"
The Gilbert Diaries: The Movie,happygolucky naive gilbert embarks daily adventure come across variety interesting encounter opportunity obstacle laughable moment alongside friend family adversary,['Comedy']
The Nan Movie,foulmouthed recalcitrant elderly woman reluctantly agrees road trip grandson visit estranged dying sister,"['Adventure', 'Comedy']"
Pokémon the Movie: Secrets of the Jungle,story koko young boy raised pokmon creation new bond human pokmon,"['Animation', 'Action', 'Adventure']"
The Real Bros of Simi Valley: The Movie,year high school reunion around corner xander squad embark journey become dopest version time flex old classmate,['Comedy']
Doraemon the Movie: Nobita's Sky Utopia,doraemon nobita friend go find utopia perfect land sky everyone life happiness using airship time warp function,"['Animation', 'Adventure', 'Comedy']"
Playmobil: The Movie,younger brother charlie unexpectedly disappears magical animated universe playmobil unprepared marla must go quest lifetime bring home set fantastic journey across stunning new world marla team unlikely heroic new friend smoothtalking food truck driver del dashing charismatic secret agent rex dasher wholehearted misfit robot extravagant fairygodmother many vibrant adventure marla charlie realize matter life play achieve anything believe,"['Animation', 'Adventure', 'Comedy']"
Gabby's Dollhouse: The Movie,gabby grandma gigis road trip take unexpected turn gabbys prized dollhouse end eccentric cat lady vera gabby embarks adventure reunite gabby cat retrieve beloved dollhouse,"['Animation', 'Adventure', 'Comedy']"
Sword Art Online the Movie: Progressive - Scherzo of Deep Night,two month passed since deadly game began kirito asuna continue make progress stop treasure must face asunas least favorite monster,"['Animation', 'Action', 'Adventure']"
We Bare Bears: The Movie,grizz panda ice bear embark adventure canada agent department national wildlife control try put end hijinx,"['Animation', 'Adventure', 'Comedy']"
Buzz House: The Movie,selly prepared many surprise participant secret contestant villa isolated wood accessible boat costumed employee tasked frightening making thrilling,"['Comedy', 'Horror']"
The Banana Splits Movie,boy named harley family brother austin mother beth stepfather mitch attends taping banana split tv show supposed funfilled birthday young harley business usual rebecca producer series thing take unexpected turn body count quickly rise harley mom new pal safely escape,"['Comedy', 'Horror', 'Thriller']"
Colorful Stage! The Movie: A Miku Who Can't Sing,shibuya teen musician ichika meet hatsune miku hearing song store pair work together help miku forge emotional connection music,"['Animation', 'Comedy']"
Non Non Biyori: The Movie - Vacation,summer vacation drawing end suguru win free trip okinawa five student asahigaoka branch school excited end vacation bang along hikage konomi teacher candy store owner everyone go okinawa fun threeday trip natsumi make friend aoi girl help hotel stay,"['Animation', 'Adventure', 'Comedy']"
Not Another Church Movie,god command taylor pherry write movie inspired crazy dysfunctional family devil devious plan,['Comedy']
Masameer: The Movie,masameer movie based one successful cartoon show middle east coming cinema saudi animation comedy loved fan across region see dana saudi girl passion artificial intelligence embark journey create good world using robotics meanwhile three friend saad saltooh kalb hit rock bottom go journey prove society becoming crimefighting superheroes masameer movie hilarious comedy thats whats right missed,['Animation']
Si Doel: The Movie,doel travel netherlands reunite woman left year ago doels new journey started,['Romance']
Super Heroes: The Movie,bad breakup wonderful woman superbman must work together super crew prevent world domination invincible super villain th dimension named bob shot superhero parody star lisa guerrero wonderful woman ric borelli superbman kevin glikmann bob siskel ebert would said campy marshmallow cook,['Romance']
Teasing Master Takagi-San: The Movie,takagi nishikata final year middle school anxiety hope future summer final year day summer vacation start two find kitten name ha,"['Animation', 'Comedy', 'Romance']"
The Casagrandes Movie,surprise family trip mexico derails ronnie anne birthday plan determined prove shes old enough thing even mean confronting ancient preteen demigod whose angst apocalyptic pot,"['Animation', 'Adventure', 'Comedy']"
Shin Jigen! Crayon Shin-chan the Movie,young boy shinnosuke gain telekinetic ability cosmic white light mitsuru hiriya obtains psychic power black light aim destroy earth amidst japan fear shinnosuke emerges hero hiriyas threat,"['Animation', 'Action', 'Adventure']"
The Bad Guys: The Movie,bus transporting inmate flipped resulting felon escaping order round incarcerate criminal cop form special task force need work haste chief detective form crack team rearing go time essence moreover criminal dangerous loose matter complicated criminal gang soon involved interferes,"['Action', 'Crime', 'Thriller']"
Jungle Beat: The Movie,jungle beat movie charming family friendly adventure epic proportion one morning animal jungle wake discover speak theyre even amazed learn reason there alien jungle little fneep come conquer planet brought crazy tech including translation device let talk first time unfortunately intergalactic scaldronian empire fortunately jungle fneep terrible conqueror he homesick he crashed ship he match antic munki trunk gang hero wont let little alien conquest get way good time new friend animal help journey home learns friendship could greatest force universe match spaceship full alien,"['Animation', 'Adventure', 'Comedy']"
Animals on the Loose: A You vs. Wild Movie,protective fence surrounding wildlife sanctuary mysteriously suffered breach bear called help rescue mischievous baboon track hungry lion fix fence animal get,['Adventure']
Saga of Tanya the Evil - The Movie,front line war little girl blond hair blue eye porcelain white skin command squad lisping voice name tanya degurechaff reality one japan elite salary men reborn little girl angering mysterious call god little girl prioritizes efficiency career anything else become dangerous amongst sorcerer imperial army,"['Animation', 'Action', 'Adventure']"
The Movie Emperor,actor lau waichi huge following devoted follower always keeping eye rival accepting play lead modest indie drama lau begin laborious process mastering acting skill,['Comedy']
Big City Greens the Movie: Spacecation,ruining family vacation even begin cricket attempt right wrong volunteering family experimental farming mission space,"['Animation', 'Action', 'Adventure']"
Noah's Arc: The Movie,gay couple expecting twin must shift gear offered dream job forcing one assume traditional stayathome parental role,"['Comedy', 'Romance']"
Baby Shark's Big Movie!,baby shark catchiest fish sea evil singer stariana devise plan steal musical power,"['Animation', 'Adventure', 'Comedy']"
Ben 10 vs. the Universe: The Movie,blast ben past return double damage team tennyson planet earth forcing ben go interstellar save day,"['Animation', 'Action', 'Adventure']"
No Time to Spy: A Loud House Movie,lincoln louds ecstatic welcome new grangran myrtle family tropical wedding celebration festivity cut short old nemesis myrtle secret agent past appears,"['Animation', 'Action', 'Adventure']"
Buzz House: The Movie 2,waking coma selly realizes cant lie anymore friend costi see chance create hit show thing spiral control try launch new season buzzhouse,"['Comedy', 'Horror']"
The UFO Movie They Don't Want You to See,documentary showing real science behind today ufo phenomenon talking ufo congress whats behind video important visited,['Documentary']
Mechamato Movie,amato outsmarts mechabot becomes master allowing use unique ability mechanize everyday object hightech device,"['Animation', 'Action', 'Adventure']"
The Larva Island Movie,movie sequel hit series chuck return home talk reporter life island zany larva pal red yellow,"['Animation', 'Adventure', 'Comedy']"
Legasi: Bomba the Movie,amir young firefighter need rise prove dealing past trauma tallest skyscraper capital city engulfed raging fire threatening life civilian fellow firefighter,"['Action', 'Thriller']"
Queer Movie Beautiful,story one gay boy suffers appearancecomplex start stealing ideal friend photo gay dating application,['Romance']
The Confidence Man JP: The Movie,con men con woman dako bokuchan lichard professional know angle vulnerability disguise planning go work hong kong adept siphoning huge amount money evil character like capitalist greedy businessmen mafia thug,"['Comedy', 'Crime']"
Soul Land Movie: The Battle of Two Gods,grand finale soul land tang san possesses two divine power sea god asura god pitted alliance bibi dong bibi dong rakshasa god qian renxue angel god,"['Animation', 'Action']"
Semantic Error: The Movie,chu sangwoo epitome inflexible strict ruleabiding person jang jaeyoung like semantic error perfect world chu sangwoo sangwoo able work jaeyoung artist engineer,['Romance']
Taken at a Truck Stop: A Black Girl Missing Movie,determined trucker mobilizes network social medium following find missing niece police effort stall exposing harsh truth online danger racial bias missing person case,['Thriller']
Wonderful! Liang Xi Mei the Movie,cross dressing middle aged lady comedy best idea life milking last drop best part idea even blatant rip japanese comedian legend man received far credit deserves yes sleeze bag sleep aspiring actress mini van parking lot,['Comedy']
Dream Big: The Olympia Movie,global interest strength performance body transformation drive major commerce regional economy worldwide fitness industry elite level lead phenomenon,['Documentary']
"Hello, Stranger: The Movie",xavier mico join writing camp get know friend people around twist turn different direction stranger stranger,"['Comedy', 'Romance']"
Ejen Ali: The Movie,accidentally recruited spy yearold ejen ali grown embrace role secret agency meta advance tactical agency mata protect futuristic city cyberaya outside threat ali surprised discover longer master infinity retinal intelligence system iris gadget since mata upgraded iris neo mata agent new invention lead ali question place usefulness mata approached rogue figure claim know surprising personal connection ali risking loyalty mata ejen ali embarks thrilling chase unravel mysterious link,"['Animation', 'Action', 'Adventure']"
MaNan - A Kaisi Yeh Yaariyan Movie,parth samthaan niti taylor return popular jodi manik nandini aka manan watch brat manik fall naive nandini rollercoaster journey love begin,['Romance']
Nirvanna the Band the Show the Movie,plan book show rivoli go horribly wrong matt jay accidentally travel back year,['Comedy']
Gameboys: The Movie,based first boy love series philippine gameboys movie follows story gamers turned lover cairo gavreel get spend time together gavreels house week cairo return province start romantic holiday young couple turn relationship test must overcome cairo faced reality imminent departure gavreel compelled make lifechanging decision defying distance even pandemic cairo gavreel able prove love strong enough withstand fate circumstance,"['Comedy', 'Romance']"
Skin: The Movie,socially awkward midwestern woman inherits san diego porn studio plan take money run back reclusive existence dead father band misfit force face fear learn misfit people skin story blanche fortysomething product minnesota would writer settled quiet predictable life publisher researcher minneapolis thats change skin driving force blanches longlost father spike born entrepreneur made small fortune lasan diego porn industry spike dead doesnt keep guiding blanche strange journey one chapter time dvd left behind,['Comedy']
BoBoiBoy Movie 2,boboiboy friend attacked villain named retakka original user boboiboys elemental power seek take back elemental power boboiboy become powerful person dominate galaxy together friend boboiboy must find way defeat retakka power fall wrong hand,"['Animation', 'Action', 'Adventure']"
Fate/Grand Order the Movie: Divine Realm of the Round Table: Camelot,sixth singularity finally located holy land jerusalem master ritsuka fujimaru demiservant mash kyrielight depart repair singularity like previous one singularity nothing like rest difficult challenge theyve faced far,"['Animation', 'Action']"
Watching This Movie Is a Crime,amir young member basidj father martyr war amir pregnant wife beaten stranger street loses child decides take action,['Thriller']
Just Like a Christmas Movie,verge massive deadline cynical workaholic zapped faulty christmas light stranded small colorado town find cast lead overthetop hallmarkstyle holiday movie,['Comedy']
Shirobako: The Movie,four year shirobako aoi miyamori keep busy dealing ordinary trouble daily work musashino animation morning meeting aoi put charge new theatrical anime project studio project unexpected problem aoi unsure company proceed theatrical anime current state affair,"['Animation', 'Comedy']"
Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,part two fategrand order shinsei entaku ryouiki camelot wandering agateram adaptation sixth holy grail war sacred round table realm camelot singularity fategrand order,"['Animation', 'Action']"
The Coolest Guy Movie Ever: Return to the Scene of The Great Escape,filmmaker christophe espenans tribute great escape coolest guy movie ever fascinating documentary return iconic location classic film shot complete rare footage interview,['Documentary']
Tom Cruise: The Last Movie Star,top gun mission impossible franchise tom cruise becomes world biggest movie star risking life limb perform deathdefying stunt,['Documentary']
Teasing Master Takagi-san Movie,takagi grown revisits middle school trainer encounter nishikata former classmate used tease pe teacher playful dynamic resume leading interaction two,"['Comedy', 'Romance']"
Plankenstein: A Killer Surf Movie,cursed hawaiian surfboard meant guard royal heir awakens police captain merry miller must protect stepdaughter lilis royal bloodline stopping board claiming surfer soul kailua,['Thriller']
Orangie the Movie,orangie pal living sweet life sour tangeriney crash vibrant world sinister machine tangeriney hurl orangie friend unknown dimension stranded facing bizarre new ch,"['Animation', 'Action', 'Adventure']"
"Caution, Hazardous Wife: The Movie",spun television serial title story begin mr isayama pointing gun beautiful wife arrives home enters door wife secret agent little fact dear husband special agent posing technology worker seems marital bond cohabitation necessarily ingredient honesty sharing information husband wife,"['Action', 'Adventure']"
The Old Man Movie,grandchild come visit old man countryside summer far idyllic summer vacation vanaisa old man working hard child dairy cow thug dont understand rural custom cause child hour find cow unmilked udder explodes cause milk core disasterthe old man child start ruthless race time udder must defused mysterious dairy cow sends cow heavenly meadow despicable hipster countryside wild boar desperate sawmillers stubborn bear suffering constipation,"['Animation', 'Comedy']"
Bungo Stray Dogs the Movie: Beast,parallel world city yokohama osamu dazai bos port mafia atsushi also considered member mafia ryonsuke akutagawa enlists help armed detective agency find sister,"['Action', 'Crime']"
The Kieran and Bullwinkle Movie,bullwinkles pal rocky vacation captured mysterious enemy bullwinkle must band kieran save,"['Animation', 'Action', 'Adventure']"
Al Hayba: The Movie,year murderer jabals father spotted alive bulgaria jabal sheikh aljabal head fierce hunt men passing istanbul bulgaria aim bring nazem alaali back justice,"['Action', 'Crime', 'Thriller']"
Layangan Putus: The Movie,ended court ruling kinan divorced aris aris prefers lydia mind still fixated past namely kinan,['Romance']
Pornographer the Movie: Playback,novel writer rio kijima university student haruhiko kuzumi romantic relationship even rio kijima returned hometown maintained relationship corresponding haruhiko kuzumi recently got job relationship one day rio kijima injures arm meet shizuo akemi rio kijima asks shizuo akemi transcribe story writing cause rio kijima remember haruhiko kuzumi first became interested around time haruhiko kuzumi come rio kijima,['Romance']
Si Doel the Movie 3,return sarah cornelia agatha dul rey bong jakarta welcomed happily doel family rano karno also make zaenab maudy koesnaedi sarah doel confronted decisive choice zaenab positively pregnant still traumatized lost baby past must choose staying doels side letting go reunite family sarah must decide whether get divorced doel reconcile sake dul child doel must quickly decide choose,['Romance']
Ultraman Blazar the Movie: Tokyo Kaiju Showdown,wave kaiju emerges industrial area tokyo prompting captain gento special kaiju reaction detachment skard engage relentless battle yet despite effort endless kaiju attack continues,['Action']
Oasis: The Reunion: The Movie,biggest reunion decade get comic relief treatment aid charity starring inbetweeners james buckley joe thomas gallagher brother plus whole host celebrity cameo might say,"['Short', 'Comedy']"
Steam Room Stories: The Movie,failing cosmetic magnate sally fay stop nothing possess water steam room help lift sagging empire doesnt count steam room guy banding together thwart evil plan,['Comedy']
Our Popcorn Movie Dystopia - Some More News: The Movie,man driven brink madness current political climate america get help future past version explore alternative timeline movie,['Comedy']
The 9th Movie,joel gather friend remote cabin celebrate completion latest feature film feature project,['Comedy']
Shingles: The Movie,series hilarious gross tale bring laugh chill group friend share scary story happened attempt scare much real much come back ha,['Comedy']
Tersanjung: The Movie,yura clara bernadeth poor girl life adoptive parent lulled hope life face complicated love triangle oka kevin ardilio christian giorgino abraham story dream romance emotion raging together,['Romance']
Infini-T Force the Movie: Farewell Gatchaman My Friend,except condor joe alternate world member science ninja team movie however three worldly japanese superheroes assist ken eagle nexus corrupt dr nambu alternative world joe threat endanger fabric home world reality,"['Animation', 'Action']"
Trinity Seven The Movie 2: Heavens Library & Crimson Lord,kaunda arata devil factor collapse world conducting investigation ruin along asami lilith one trinity seven strong power responded aratas power neighborhood covered dazzling light noticed place sky old place governs wisdom whole world sky library suddenly man face similar arata appears red lightning name red kaoru abis trinity demon king destroying demon king powerful power eradicate city blink sealed sky library long time reacted arata demon law factor unlocked seal regained power demon king planning return world nothing,"['Animation', 'Action', 'Comedy']"
The Rodfellows Movie,rodfellows movie follows trf including tdc life turning upside arrival antagonist zander zayden perpetrate chasing part trf house perform less realize caught footage causing downhill experience trf morning routine main trf subdue experience thing go back way,"['Animation', 'Adventure', 'Comedy']"
Una Great Movie,screenwriter take note hollywood executive beautiful diverse movie black american woman traveling mexico slowly becomes romantic comedy allwhite cast quirky cerebral look commercial,['Comedy']
Workers: The Movie,trio happygolucky worker wipe sweat work hard every corner chang feeling anxious large number traffic ticket qi suggests get help lawyer two worker meet quan home,['Comedy']
Revue Starlight the Movie,starlight story far star long time ago distant future two young girl captivated glamour performance exchange promise well become star ill wait stage,"['Animation', 'Action']"
The Makavejev Case or Trial in a Movie Theater,makavejev case trial movie theater explores position artist socialist fr yugoslavia focusing political social climate used public platform condemn film wr mystery organism auspex communist party,['Documentary']
Movie Trailers: A Love Story,documentary examining creation evolution movie trailer passionate yet sometimes complicated relationship film fan,['Documentary']
Super Wings the Movie: Maximum Speed,super wing rush sky save day billy willy scheming toy maker kidnaps social medium star sends space,"['Animation', 'Action', 'Adventure']"
The Pedal Movie,documentary history culture sound guitar effect pedal told builder build artist use,['Documentary']
SMG4 Movie: Meggy's Destiny,meggy spletzer enters final splatfest mario luigi tari try keep promise shes made old rival,"['Animation', 'Short', 'Action']"
High School Fleet the Movie,story follows girl named akeno misaki enrolls yokosuka girl marine high school order become one highly regarded blue mermaid,"['Animation', 'Action', 'Adventure']"
L.O.L. Surprise: The Movie,queen bee making movie big sister royal bee big premiere happening tonight crew finish movie time find oneofakind fantasy action spooky scifi western adventure,"['Animation', 'Action']"
Another Cabin in the Woods Movie,tongueincheek spoof horrorsavvy character trapped yet another cabin wood forced navigate murder red herring uncover stop nothing twisted happily ever,"['Comedy', 'Horror']"
Signal: The Movie,story continues japanese signal drama series limousine taxi driver cause accident highway highlevel government official dy accident,['Action']
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,follows komugi iroha new adventure sucked world video game doki doki tanukingdom thrilling raccoondogkingdom,"['Animation', 'Action', 'Adventure']"
Wasp Woman: Murder of a B-Movie Star,wasp woman explosive truecrime investigation strangerthanfiction killing cult movie queen dwarf son accused murdering,['Documentary']
The Earthing Movie,basis documentary human lost connection earth removing barrier ie shoe u earth heal inflammation body includes opinion test experiment many doctor expert many different medical field,['Documentary']
The 420 Movie: Mary & Jane,grand idea leaving broken city grew two sister get roped using get rich idea help womanizing father save city love bankruptcy three foot tall mexican drug lord,['Comedy']
Didi & Friends the Movie,best friend wing chirpy chicken leaf home exciting adventure help village elder find magical medicine,"['Animation', 'Adventure', 'Comedy']"
Terrifier Roblox Movie,partygoer sienna heyes brother johnathan heyes become target enigmatic serial killer known art clown go killing spree around mile county sienna family big trouble art clown ta,"['Short', 'Horror', 'Thriller']"
Around India with a Movie Camera,drawn exclusively bfi national archive around india movie camera feature earliest surviving film india well gorgeous travelogue intimate home movie newsreel british french indian filmmaker taking maharaja viceroy fakir farmhand personality sabu gandhi film explores people place year ago asks u engage broader theme shared history shifting perspective lead indian independence ghost past around india also feature superb new score fuse western indian music composer sarod player soumik datta,['Documentary']
Kourafelkythra: The Movie,said april fool joke dont lead great collaboration beloved character kourafelkithra comic come life first time screen lively short film destined cinobos debut product,"['Animation', 'Short']"
The Coming Back Out Ball Movie,middle australia divisive marriage equality vote melbourne hosted gala event honour celebrate lgbtiq elder story,['Documentary']
Headcheese: The Movie,richie ramone find stuck small town called darkmarsh along side veteran sherriff deputy itchy trigger finger town ran flesh eating inbred troll addicted opiateshillbillies bikers huge painpill epidemic breakthis get messy,"['Action', 'Adventure', 'Comedy']"
He's Into Her: The Movie Cut,spunky teenage girl mindoro move manila live estranged father study prestigious school clash basketball varsity captain unaware oneupmanship blossom something beautiful,"['Comedy', 'Romance']"
Capitol Riots Movie,january th riot violent attack united state congress occurred u capitol building entire capitol complex well historic ground lincoln memorial washington monument locked rioter occupied vandalized building several hour five people died injured dust settled strict citywide curfew still enforced throughout city small team investigative reporter led visionary filmmaker took street engaging community speaking individual present time riot get take happened impact jan th country come next say,"['Documentary', 'Short']"
Sam & Mattie Make a Zombie Movie,sam amp mattie two badass best friend syndrome rally entire town providence ri help storyboard script produce cast star dream movie year adventure shatters disability stereotype champion independent spirit feature gallon fake blood culminates ultimate payoff presenting spring break zombie massacre entirety public first time,['Documentary']
Grainne Uaile: The Movie,violent gritty retelling life grainne uaile th century pirate queen ireland fighter pirate tough woman carving mark man world exciting film violent dark brutal exciting often darkly comic ultimate female action hero steeped ancient irish history,['Action']
Si Doel the Movie 2,news husband met exlover child make zaenab confused choosing defend marriage doel let go especially doel say sarah dul stay jakarta zaenab try find answer fate choose hope began open doel hears atun possibility zaenab pregnant assertion come sarah visit maknyak express regret happened past asks dul call zaenab mother,['Romance']
Meta Runner Season 1 (Full Movie Cut),celebration season released soon glitch production team put season single movie watch one go,"['Animation', 'Action', 'Adventure']"
No Strings the Movie,young girl saved child trafficking loses mother process carry resentment hate world take anger relationship avenge mom death go date guy specifically break heart continues meet caleb intern counselor know history counseled guy jenny meddled puzzled confused confronts challenge play set journey many heart broken end many left tact inspirational story love forgiveness hope learning trust,['Romance']
Samhain: A Halloween Horror Movie,camille heading west coast start new life camille one last night town house sitting extra cash question last night telford last night earth,['Horror']
Trunk Train: The Movie,gajah elephant memory turned celebrity overnight stardom shortlived end becoming main suspect mysterious abduction,"['Animation', 'Adventure', 'Comedy']"
The New Employee: The Movie,first day internship brighteyed bushytailed seunghyun meet workaholic manager jongchan seunghyun immediately fall love handsome perfect jongchan first sight seunghyun try h,['Romance']
Adit Sopo Jarwo: The Movie,way jogjakarta adit separated parent journey taught adit true meaning friendship,"['Animation', 'Comedy']"
The Jon Kess Movie,jon kess movie follows journey jon kess youtuber baseball player whose life take unexpected turn mysterious hacker named glitch begin causing chaos online movie open jon friend kee,"['Action', 'Adventure', 'Comedy']"
God City Da Movie,cold street charlotte murder rise drug deal gone wrong created done city cop chasing city notorious thug,['Crime']
Backwoods Bubba (Full movie),bubba wayne bundy along help brother john edward bundy two madman get kidnapping woman dressing,['Horror']
The Cobra Kai Movie,bullied teen embarks journey become heroic taking inspiration netflix show cobra kai help people made cobra kai possible finally overcomes lack confidence defeat hig,"['Short', 'Action']"
The Jonah Movie,jonah sorrentinos dream came true signed first record deal year later dropped followed journey faith perseverance jonah sought shape define genre christian hip hop music documentary take look ups down jonah life feature interview richard sorrentino todd collins goldinchild urband john reuben derek minor canon marty mar social club misfit,['Documentary']
Tagged: The Movie,group teen knack stealing car retagging profit take job lead steal wrong person,['Crime']
